;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
740585;01/06/2017;Student loan;Non-federal student loan;ECMC Group, Inc.;CA;Web;Yes;Yes
740702;11/19/2016;Debt collection;Federal student loan;Great Lakes;OK;Web;Yes;No
740869;01/09/2017;Debt collection;I do not know;WAKEFIELD & ASSOCIATES, INC.;CO;Web;Yes;Yes
741020;10/12/2016;Debt collection;Medical;Tenet HealthCare Corporation;FL;Web;Yes;No
741455;10/27/2016;Debt collection;Other (i.e. phone, health club, etc.);Navy FCU;CA;Web;Yes;No
741486;12/08/2016;Debt collection;Other (i.e. phone, health club, etc.);Prince Parker & Associates;MA;Web;Yes;No
741536;12/08/2016;Debt collection;Payday loan;CashCall, Inc.;NJ;Web;Yes;No
741992;09/14/2016;Debt collection;Medical;CMRE Financial Services, Inc.;CA;Web;Yes;No
742037;11/23/2016;Debt collection;I do not know;CMRE Financial Services, Inc.;MO;Web;Yes;No
742080;12/01/2016;Debt collection;Medical;CMRE Financial Services, Inc.;CA;Web;Yes;No
742082;01/10/2017;Debt collection;Medical;ProCollect, Inc;MD;Web;Yes;Yes
742158;12/01/2016;Debt collection;Other (i.e. phone, health club, etc.);I.C. System, Inc.;KY;Web;Yes;No
742186;12/04/2016;Debt collection;Other (i.e. phone, health club, etc.);I.C. System, Inc.;PA;Web;Yes;No
742346;11/29/2016;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;NV;Web;Yes;No
742462;11/28/2016;Debt collection;Auto;CCS Financial Services, Inc.;GA;Web;Yes;No
742465;10/26/2016;Debt collection;Medical;The Receivable Management Services Corporation;TX;Web;Yes;No
742557;12/05/2016;Debt collection;Medical;Advance Bureau of Collections;GA;Web;Yes;No
742560;12/01/2016;Debt collection;Other (i.e. phone, health club, etc.);Amsher Collection Services, Inc.;MA;Web;Yes;Yes
742936;12/02/2016;Debt collection;Mortgage;Ditech Financial LLC;NC;Web;Yes;No
743005;12/02/2016;Debt collection;Other (i.e. phone, health club, etc.);Carter-Young, Inc.;MS;Web;Yes;No
743035;05/05/2016;Payday loan;Payday loan;BlueChip Financial;CA;Web;Yes;No
743190;12/04/2016;Student loan;Federal student loan servicing;Financial Asset Management Systems, Inc.;CA;Web;Yes;No
743314;12/09/2016;Debt collection;Other (i.e. phone, health club, etc.);Media Collections, Inc;VA;Web;Yes;No
743348;11/12/2016;Debt collection;Other (i.e. phone, health club, etc.);Meridian Financial Services, Inc.;WA;Web;Yes;No
743469;11/28/2016;Debt collection;Non-federal student loan;Performant Financial Corporation;GA;Web;Yes;No
743483;11/29/2016;Debt collection;Other (i.e. phone, health club, etc.);Sunrise Credit Services Inc.;IL;Web;Yes;No
743512;12/17/2016;Debt collection;Mortgage;Specialized Loan Servicing LLC;NC;Web;Yes;Yes
743576;12/04/2016;Debt collection;Credit card;Synchrony Financial;NJ;Web;Yes;No
743744;01/18/2017;Debt collection;Federal student loan;Delta Management Associates, Inc.;VA;Web;Yes;Yes
743945;01/16/2017;Debt collection;I do not know;ProCollect, Inc;TX;Web;No;Yes
743984;01/19/2017;Student loan;Federal student loan servicing;Great Lakes;IN;Web;Yes;Yes
743995;12/05/2016;Student loan;Non-federal student loan;ECMC Group, Inc.;NY;Web;Yes;No
744143;12/08/2016;Debt collection;Credit card;Garrison Investment Group;FL;Web;Yes;No
744165;12/12/2016;Debt collection;Medical;Mid-America Accounts Control Bureau, Inc.;KS;Web;Yes;No
744316;12/01/2016;Payday loan;Payday loan;Cottonwood Financial Ltd.;IL;Web;Yes;No
744346;11/19/2016;Payday loan;Payday loan;Rosebud Economic Development Corporation;IA;Web;Yes;No
744564;12/11/2016;Debt collection;Other (i.e. phone, health club, etc.);Retrieval-Masters Creditors Bureau, Inc.;CA;Web;Yes;No
744770;01/07/2017;Student loan;Federal student loan servicing;SunTrust Banks, Inc.;CA;Web;Yes;Yes
744842;10/29/2016;Debt collection;Medical;The Law Offices of Burr & Reid, LLP;NY;Web;Yes;No
744879;10/17/2016;Debt collection;Medical;Medical Data Systems, Inc.;SC;Web;Yes;No
744946;11/17/2016;Debt collection;I do not know;CCS Financial Services, Inc.;CA;Web;Yes;No
745043;12/01/2016;Student loan;Federal student loan servicing;Windham Professionals;CA;Web;Yes;No
745067;10/20/2016;Debt collection;Other (i.e. phone, health club, etc.);Navy FCU;CA;Web;Yes;No
745285;12/15/2016;Debt collection;Medical;Monterey Financial Services, Inc.;IN;Web;Yes;No
745490;11/16/2016;Debt collection;Mortgage;Bank of America;FL;Web;Yes;No
745511;01/17/2017;Debt collection;I do not know;Critical Resolution Mediation LLC;CA;Web;No;Yes
745824;11/17/2016;Debt collection;Other (i.e. phone, health club, etc.);First Advantage LNS Inc.;SC;Web;No;No
745960;11/17/2016;Debt collection;Auto;Ally Financial Inc.;NC;Web;Yes;No
746240;01/19/2017;Debt collection;Credit card;Synchrony Financial;FL;Web;Yes;Yes
