;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
56993;03/24/2015;Payday loan;Payday loan;Community Choice Financial, Inc.;AL;Web;Yes;No
57150;03/19/2015;Debt collection;Medical;Accounts Receivable Consultants Inc.;TX;Web;Yes;No
57207;03/24/2015;Debt collection;Other (i.e. phone, health club, etc.);First Credit Services Inc.;NY;Web;Yes;No
57286;03/19/2015;Debt collection;I do not know;BB&T Financial;MD;Web;Yes;No
57299;03/19/2015;Debt collection;I do not know;SunTrust Banks, Inc.;MD;Web;Yes;Yes
57319;03/19/2015;Debt collection;I do not know;FC HoldCo LLC;MD;Web;Yes;Yes
57420;03/24/2015;Debt collection;Medical;The Affiliated Group, Inc;MD;Web;Yes;No
57898;03/25/2015;Debt collection;Other (i.e. phone, health club, etc.);Fairway Collections, LLC;WA;Web;Yes;Yes
57992;04/03/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
58003;04/03/2015;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;NY;Web;Yes;Yes
58423;04/09/2015;Debt collection;I do not know;Commonwealth Financial Systems, Inc.;OK;Web;Yes;Yes
58436;04/09/2015;Debt collection;Payday loan;Aargon Agency, Inc.;WI;Web;Yes;No
58903;12/09/2016;Debt collection;Medical;Meade & Associates, Inc.;OH;Web;Yes;No
59002;03/20/2015;Debt collection;Other (i.e. phone, health club, etc.);Coast Professional, Inc.;CA;Web;Yes;No
59014;03/20/2015;Debt collection;I do not know;American Credit Acceptance, LLC;MD;Web;Yes;Yes
59066;04/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;NY;Web;No;No
59164;04/09/2015;Debt collection;Credit card;Atlantic Credit & Finance, Inc.;TX;Web;Yes;No
59375;03/21/2015;Payday loan;Payday loan;Cash Express, LLC;TN;Web;No;No
59929;03/26/2015;Debt collection;Other (i.e. phone, health club, etc.);Enova International, Inc.;OH;Web;Yes;No
59947;03/23/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;GA;Web;Yes;No
60149;03/27/2015;Debt collection;Other (i.e. phone, health club, etc.);National Commercial Services, Inc;KS;Web;Yes;No
60544;04/11/2015;Debt collection;I do not know;Malcolm S. Gerald and Associates, Inc.;NJ;Web;Yes;Yes
60548;04/02/2015;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;TX;Web;Yes;No
60699;04/16/2015;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;CO;Web;Yes;No
60803;04/07/2015;Debt collection;Medical;R.M. Galicia, Inc.;CA;Web;Yes;No
60877;04/08/2015;Debt collection;Credit card;Citibank;NY;Web;Yes;No
61123;04/13/2015;Debt collection;I do not know;First National Collection Bureau, Inc.;OK;Web;Yes;No
61481;05/07/2015;Debt collection;I do not know;Holloway Credit Solutions;GA;Web;Yes;No
61913;04/28/2015;Debt collection;I do not know;Bank of America;FL;Web;Yes;No
62038;05/07/2015;Debt collection;Credit card;Dynamic Recovery Solutions, LLC;AZ;Web;Yes;Yes
62171;04/14/2015;Debt collection;Medical;Harris & Harris, Ltd.;CA;Web;Yes;No
62252;05/13/2015;Debt collection;Non-federal student loan;Bank of America;WA;Web;Yes;No
62765;05/14/2015;Debt collection;Medical;Revenue Recovery Corporation;TN;Web;Yes;No
62783;04/20/2015;Debt collection;Credit card;Consumer Asset Management (Texas);WV;Web;Yes;No
62806;04/21/2015;Debt collection;Medical;USCB, INC.;CA;Web;Yes;No
62951;04/24/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;TX;Web;Yes;Yes
62957;05/19/2015;Debt collection;Mortgage;Ocwen;IL;Web;Yes;Yes
63010;05/19/2015;Debt collection;I do not know;FC HoldCo LLC;MD;Web;Yes;No
63193;05/08/2015;Debt collection;Credit card;Barclays PLC;CA;Web;Yes;No
63244;05/19/2015;Debt collection;Medical;Medical Business Bureau;TX;Web;Yes;No
63299;04/29/2015;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;VA;Web;Yes;No
63328;05/09/2015;Debt collection;Other (i.e. phone, health club, etc.);Credit Protection Association, L.P.;VA;Web;Yes;No
63348;05/10/2015;Debt collection;Auto;Duncan Solutions, lnc.;MD;Web;Yes;No
63394;05/19/2015;Debt collection;Credit card;USAA Savings;MO;Web;Yes;Yes
63466;04/24/2015;Debt collection;I do not know;Stallings Financial Group, Inc.;GA;Web;Yes;Yes
63506;05/19/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;WA;Web;Yes;No
63690;05/05/2015;Debt collection;Medical;Express Recovery Services, Inc.;TX;Web;Yes;No
63844;04/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;TX;Web;Yes;Yes
63928;04/21/2015;Debt collection;Medical;Aargon Agency, Inc.;TX;Web;No;No
63938;04/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Penn Credit Corporation;VA;Web;Yes;No
64140;05/06/2015;Debt collection;Medical;Louisiana Recovery Services Inc.;LA;Web;Yes;No
64208;05/26/2015;Debt collection;I do not know;ERC;CO;Web;Yes;No
64232;05/15/2015;Debt collection;Payday loan;Cottonwood Financial Ltd.;TX;Web;Yes;No
64258;05/15/2015;Debt collection;Medical;Allied Collection Services, Inc. (Nevada);NV;Web;Yes;Yes
64504;05/15/2015;Debt collection;Other (i.e. phone, health club, etc.);MRS BPO, L.L.C.;WA;Web;Yes;No
64576;05/20/2015;Debt collection;Other (i.e. phone, health club, etc.);Sterling Jewelers Inc.;CA;Web;Yes;No
64649;05/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Amsher Collection Services, Inc.;OR;Web;Yes;No
64684;05/27/2015;Debt collection;Auto;PayPal Holdings, Inc.;CA;Web;Yes;No
64736;05/27/2015;Debt collection;Non-federal student loan;Allied Interstate LLC;AZ;Web;Yes;No
64828;05/27/2015;Debt collection;Medical;HCFS Health Care Financial Services, Inc.;TX;Web;Yes;Yes
64853;04/22/2015;Debt collection;I do not know;Bryant Bryant & Associates LLC;CA;Web;No;No
65053;05/16/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
65220;05/27/2015;Debt collection;I do not know;Scherr & McClure;FL;Web;Yes;No
65271;05/12/2015;Debt collection;I do not know;Turning Point Solutions LLC;UT;Web;Yes;No
65334;05/13/2015;Debt collection;Other (i.e. phone, health club, etc.);Ray Klein, Inc.;AL;Web;Yes;No
65524;05/21/2015;Debt collection;Credit card;Retrieval-Masters Creditors Bureau, Inc.;SC;Web;Yes;No
65535;05/21/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;FL;Web;Yes;No
65905;05/22/2015;Debt collection;Medical;Grant & Weber;CA;Web;Yes;Yes
66216;06/08/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;FL;Web;Yes;No
66235;06/11/2015;Debt collection;Medical;CMRE Financial Services, Inc.;NY;Web;Yes;No
66360;06/11/2015;Student loan;Non-federal student loan;Genesis Lending;CO;Web;Yes;Yes
66404;06/17/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;LA;Web;Yes;Yes
66471;06/12/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;NV;Web;Yes;Yes
66509;06/17/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
66632;05/23/2015;Payday loan;Payday loan;Enova International, Inc.;NV;Web;Yes;No
66695;05/25/2015;Debt collection;Federal student loan;Financial Asset Management Systems, Inc.;NY;Web;Yes;No
66728;05/25/2015;Debt collection;Other (i.e. phone, health club, etc.);Columbia Recovery Group LLC;WA;Web;Yes;No
66867;05/29/2015;Debt collection;Medical;California Business Bureau, Inc.;CA;Web;Yes;No
66983;06/12/2015;Debt collection;I do not know;Commonwealth Financial Systems, Inc.;FL;Web;Yes;No
67166;06/09/2015;Debt collection;Credit card;The Moore Law Group;CA;Web;Yes;Yes
67204;06/03/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;ID;Web;Yes;No
67306;06/03/2015;Debt collection;Medical;Commercial Acceptance Company;NE;Web;Yes;No
67464;06/04/2015;Debt collection;I do not know;First National Collection Bureau, Inc.;MI;Web;Yes;No
67573;06/13/2015;Debt collection;I do not know;Penn Credit Corporation;PA;Web;Yes;No
67616;05/29/2015;Debt collection;Other (i.e. phone, health club, etc.);Duncan Solutions, lnc.;GA;Web;Yes;No
67656;05/29/2015;Debt collection;Other (i.e. phone, health club, etc.);CL Holdings, LLC;GA;Web;Yes;No
67676;06/24/2015;Debt collection;Medical;CMRE Financial Services, Inc.;CA;Web;Yes;No
67706;06/09/2015;Debt collection;Medical;ERC;LA;Web;Yes;No
67763;06/18/2015;Debt collection;Medical;Grant & Weber;CA;Web;Yes;No
67923;05/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Bank of America;GA;Web;Yes;No
67983;06/18/2015;Debt collection;Other (i.e. phone, health club, etc.);PayPal Holdings, Inc.;FL;Web;Yes;Yes
68063;06/18/2015;Debt collection;Auto;Roquemore Holdings LLC;NC;Web;Yes;No
68344;06/10/2015;Debt collection;Other (i.e. phone, health club, etc.);Valentine and Kebartas, Inc.;AE;Web;Yes;No
68782;06/15/2015;Debt collection;I do not know;ROC Asset Solutions, LLC;MS;Web;Yes;No
68811;06/10/2015;Debt collection;Other (i.e. phone, health club, etc.);CCS Financial Services, Inc.;NJ;Web;No;Yes
68959;06/20/2015;Debt collection;I do not know;FAIR COLLECTIONS & OUTSOURCING, INC.;NY;Web;Yes;Yes
69032;06/11/2015;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;AP;Web;Yes;Yes
69139;06/01/2015;Debt collection;Other (i.e. phone, health club, etc.);Wells Fargo & Company;SC;Web;Yes;No
69250;06/16/2015;Debt collection;Other (i.e. phone, health club, etc.);Eastpoint Recovery Group, Inc;FL;Web;Yes;No
69269;06/22/2015;Payday loan;Payday loan;DFC Global Corp;CA;Web;Yes;No
69333;06/30/2015;Payday loan;Payday loan;BlueChip Financial;FL;Web;Yes;No
69366;06/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;CA;Web;No;No
69373;06/25/2015;Debt collection;Payday loan;Cottonwood Financial Ltd.;TX;Web;Yes;No
69382;07/05/2015;Debt collection;Medical;Phoenix Financial Services LLC;TX;Web;Yes;Yes
69729;06/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Carter-Young, Inc.;CA;Web;Yes;No
69936;06/26/2015;Student loan;Non-federal student loan;Wells Fargo & Company;VA;Web;Yes;No
69955;07/07/2015;Debt collection;Credit card;Radius Global Solutions LLC;NJ;Web;Yes;No
69961;07/07/2015;Debt collection;Medical;Radius Global Solutions LLC;MD;Web;Yes;No
69983;07/09/2015;Debt collection;I do not know;Lustig, Glaser & Wilson, P.C.;MA;Web;Yes;No
70000;06/23/2015;Debt collection;I do not know;Receivables Performance Management LLC;IL;Web;Yes;No
70008;07/10/2015;Debt collection;Other (i.e. phone, health club, etc.);Southwest Credit Systems, L.P.;TX;Web;Yes;No
70186;07/15/2015;Debt collection;I do not know;Navy FCU;CO;Web;Yes;Yes
70346;06/26/2015;Debt collection;I do not know;McCarthy, Burgess & Wolff, Inc.;PA;Web;Yes;No
70491;07/15/2015;Debt collection;I do not know;Allied Interstate LLC;VA;Web;Yes;No
70574;06/26/2015;Debt collection;Other (i.e. phone, health club, etc.);Robinson, Reagan and Young PLLC;MO;Web;Yes;Yes
70684;07/23/2015;Debt collection;I do not know;Stellar Recovery Inc.;MI;Web;Yes;No
70829;07/20/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;OH;Web;Yes;No
70849;07/23/2015;Debt collection;I do not know;NCC Business Services, Inc.;CA;Web;Yes;No
71395;07/02/2015;Debt collection;Other (i.e. phone, health club, etc.);Amsher Collection Services, Inc.;NV;Web;Yes;No
71402;07/02/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;FL;Web;Yes;No
71449;07/21/2015;Student loan;Non-federal student loan;Sallie Mae;AE;Web;Yes;No
71495;07/12/2015;Debt collection;Credit card;Machol & Johannes, LLC;CO;Web;Yes;No
71504;07/12/2015;Debt collection;I do not know;Penn Credit Corporation;IL;Web;Yes;Yes
71838;07/24/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;GA;Web;Yes;Yes
71944;07/16/2015;Debt collection;Other (i.e. phone, health club, etc.);Southwest Credit Systems, L.P.;MA;Web;No;No
72007;07/13/2015;Debt collection;I do not know;First Choice Assets LLC.;GA;Web;Yes;Yes
72097;07/17/2015;Debt collection;I do not know;CCS Financial Services, Inc.;MA;Web;Yes;No
72133;07/29/2015;Payday loan;Payday loan;LDF Holdings, LLC;MN;Web;Yes;No
72150;07/29/2015;Payday loan;Payday loan;LDF Holdings, LLC;MN;Web;Yes;No
72215;08/04/2015;Debt collection;I do not know;Focus Holding Company;OH;Web;Yes;No
72471;07/25/2015;Debt collection;I do not know;Allied Interstate LLC;NJ;Web;Yes;No
72691;07/27/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;AL;Web;Yes;No
72826;07/09/2015;Student loan;Non-federal student loan;Genesis Lending;CA;Web;Yes;No
72949;07/14/2015;Debt collection;I do not know;Stellar Recovery Inc.;MI;Web;Yes;Yes
72983;07/17/2015;Debt collection;Other (i.e. phone, health club, etc.);Contract Callers, Inc.;UT;Web;Yes;No
72989;07/09/2015;Debt collection;Medical;WAKEFIELD & ASSOCIATES, INC.;MO;Web;Yes;No
73031;07/22/2015;Debt collection;Medical;Commonwealth Financial Systems, Inc.;WI;Web;Yes;Yes
73155;07/09/2015;Debt collection;Payday loan;ATG Credit, LLC;CA;Web;Yes;No
73583;07/22/2015;Debt collection;Other (i.e. phone, health club, etc.);Southwest Credit Systems, L.P.;AL;Web;Yes;Yes
73612;08/10/2015;Debt collection;Medical;Professional Service Bureau;FL;Web;Yes;No
73656;07/18/2015;Debt collection;Credit card;SquareTwo Financial Corporation;FL;Web;Yes;No
73688;07/14/2015;Payday loan;Payday loan;BlueChip Financial;CA;Web;Yes;Yes
73741;07/18/2015;Debt collection;I do not know;Aargon Agency, Inc.;CA;Web;Yes;No
73801;07/27/2015;Debt collection;Credit card;Bank of America;GA;Web;Yes;No
73865;07/15/2015;Debt collection;I do not know;Allied Interstate LLC;NV;Web;Yes;No
73923;07/19/2015;Payday loan;Payday loan;BlueChip Financial;CA;Web;Yes;Yes
73927;07/28/2015;Debt collection;I do not know;Allied Interstate LLC;CA;Web;Yes;No
73957;07/23/2015;Debt collection;I do not know;Nationwide Credit Corporation;VA;Web;Yes;No
74042;07/31/2015;Debt collection;Other (i.e. phone, health club, etc.);Revenue Systems, Inc.;FL;Web;Yes;No
74075;08/11/2015;Debt collection;Other (i.e. phone, health club, etc.);Linebarger Goggan Blair & Sampson, LLP;AL;Web;Yes;No
74117;08/11/2015;Debt collection;Medical;Collection Resources, Inc.;TX;Web;No;No
74163;08/11/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;FL;Web;Yes;No
74241;08/01/2015;Debt collection;Credit card;Professional Finance Company, Inc.;TX;Web;Yes;No
74246;08/01/2015;Debt collection;Medical;CMRE Financial Services, Inc.;CA;Web;No;Yes
74454;08/02/2015;Debt collection;I do not know;CCS Financial Services, Inc.;OH;Web;Yes;No
74575;08/03/2015;Debt collection;I do not know;CL Holdings, LLC;OH;Web;Yes;No
74630;08/03/2015;Debt collection;I do not know;SquareTwo Financial Corporation;MI;Web;Yes;No
74726;08/03/2015;Student loan;Non-federal student loan;Campus Student Funding, LLC;NV;Web;No;No
74781;08/15/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;GA;Web;No;No
74822;08/15/2015;Debt collection;I do not know;Citibank;TX;Web;Yes;No
74825;08/11/2015;Debt collection;I do not know;Aargon Agency, Inc.;VA;Web;Yes;No
74866;07/29/2015;Debt collection;Other (i.e. phone, health club, etc.);Linebarger Goggan Blair & Sampson, LLP;OH;Web;Yes;No
74906;08/16/2015;Debt collection;Medical;Express Recovery Services, Inc.;UT;Web;Yes;Yes
75315;08/17/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;WA;Web;Yes;No
75320;08/28/2015;Debt collection;Credit card;Nathan & Nathan, P.C.;AL;Web;Yes;No
75372;08/29/2015;Student loan;Non-federal student loan;Genesis Lending;NV;Web;Yes;Yes
75993;08/12/2015;Debt collection;I do not know;Focus Holding Company;NC;Web;Yes;No
76083;08/13/2015;Debt collection;Credit card;Messerli & Kramer P.A.;MN;Web;Yes;No
76386;08/18/2015;Debt collection;Medical;NRA Group, LLC;MA;Web;Yes;No
76548;08/08/2015;Debt collection;Medical;Escallate, LLC;NY;Web;Yes;Yes
76583;08/08/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;GA;Web;Yes;No
76679;09/01/2015;Debt collection;Other (i.e. phone, health club, etc.);Kenneth E. Davidson, Attorney;CO;Web;Yes;No
76956;08/27/2015;Debt collection;Medical;Med-1 Solutions, LLC;IN;Web;Yes;No
76958;08/22/2015;Debt collection;Credit card;Atlanticus Services Corporation;LA;Web;Yes;Yes
76970;08/27/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;TN;Web;Yes;No
76991;09/05/2015;Debt collection;Federal student loan;Allied Interstate LLC;AZ;Web;Yes;No
77156;08/27/2015;Debt collection;Other (i.e. phone, health club, etc.);Sentry Recovery and Collections, Inc.;OH;Web;Yes;Yes
77239;08/24/2015;Debt collection;Other (i.e. phone, health club, etc.);American Profit Recovery, Inc;ME;Web;Yes;No
77368;09/07/2015;Debt collection;Federal student loan;Windham Professionals;DE;Web;Yes;No
77394;08/18/2015;Debt collection;Mortgage;Ditech Financial LLC;TX;Web;Yes;No
77429;08/27/2015;Debt collection;I do not know;First Advantage LNS Inc.;NJ;Web;Yes;No
77462;09/12/2015;Debt collection;Auto;NELSON AND KENNARD;CA;Web;Yes;No
77555;08/24/2015;Debt collection;I do not know;SunTrust Banks, Inc.;NC;Web;Yes;Yes
77649;09/01/2015;Debt collection;Other (i.e. phone, health club, etc.);Wells Fargo & Company;HI;Web;Yes;No
77731;09/08/2015;Debt collection;Medical;AmeriCollect;WI;Web;Yes;Yes
77740;08/13/2015;Debt collection;Medical;JP Recovery Services, Inc.;OH;Web;Yes;Yes
77784;09/14/2015;Debt collection;Other (i.e. phone, health club, etc.);Hunter Warfield, Inc.;GA;Web;Yes;No
77795;08/14/2015;Debt collection;Auto;Mendelson Law Firm;TN;Web;Yes;No
77805;08/14/2015;Debt collection;Other (i.e. phone, health club, etc.);Caine & Weiner Co. Inc.;OK;Web;Yes;No
78156;08/27/2015;Debt collection;Medical;TH Professional & Medical Collections LTD;IL;Web;Yes;Yes
78207;08/24/2015;Debt collection;I do not know;Penn Credit Corporation;FL;Web;Yes;No
78339;08/28/2015;Debt collection;I do not know;Hunter Warfield, Inc.;FL;Web;Yes;Yes
78371;09/08/2015;Debt collection;Medical;AR Solutions Inc;IA;Web;Yes;No
78373;08/19/2015;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;NV;Web;Yes;No
78436;08/25/2015;Debt collection;Other (i.e. phone, health club, etc.);Penn Credit Corporation;FL;Web;Yes;No
78649;09/14/2015;Debt collection;Other (i.e. phone, health club, etc.);ProCollect, Inc;CO;Web;Yes;No
78841;09/02/2015;Student loan;Non-federal student loan;Sallie Mae;ID;Web;Yes;Yes
78882;08/25/2015;Payday loan;Payday loan;GVA Holdings, LLC;PA;Web;Yes;No
79063;09/15/2015;Debt collection;Credit card;Central Portfolio Control Inc.;PA;Web;Yes;No
79089;08/28/2015;Debt collection;I do not know;Lien Enforcement Inc;CA;Web;Yes;No
79358;09/03/2015;Debt collection;Other (i.e. phone, health club, etc.);BYL Collection Services;CA;Web;Yes;No
79549;09/21/2015;Debt collection;Credit card;USAA Savings;AZ;Web;Yes;Yes
79622;09/25/2015;Debt collection;Medical;Commonwealth Financial Systems, Inc.;WI;Web;Yes;Yes
79705;09/22/2015;Debt collection;Credit card;Machol & Johannes, LLC;WA;Web;Yes;Yes
79814;09/22/2015;Student loan;Non-federal student loan;Bank of America;NY;Web;Yes;Yes
80266;09/10/2015;Debt collection;Medical;HOVG, LLC;WA;Web;Yes;No
80607;10/02/2015;Debt collection;Federal student loan;Sallie Mae;PA;Web;Yes;No
80891;09/17/2015;Payday loan;Payday loan;Advance America, Cash Advance Centers, Inc.;IN;Web;Yes;No
80897;09/28/2015;Debt collection;Auto;Stone & Hinds, P.C.;TN;Web;Yes;No
81311;09/18/2015;Debt collection;Medical;HCFS Health Care Financial Services, Inc.;FL;Web;Yes;No
81403;09/23/2015;Debt collection;Credit card;Pressler & Pressler, LLP;PA;Web;Yes;No
81419;09/23/2015;Student loan;Non-federal student loan;Great Lakes;OH;Web;Yes;No
81433;09/23/2015;Debt collection;I do not know;Solidus Group LLC.;TX;Web;Yes;No
81484;10/07/2015;Debt collection;Other (i.e. phone, health club, etc.);Diversified Adjustment Service, Inc.;UT;Web;Yes;Yes
81509;09/29/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;UT;Web;Yes;No
81535;09/29/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;MD;Web;Yes;No
81825;10/03/2015;Debt collection;I do not know;Financial Management Solutions;MD;Web;Yes;No
81860;10/03/2015;Payday loan;Payday loan;Advance America, Cash Advance Centers, Inc.;RI;Web;Yes;No
81923;10/04/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;NV;Web;Yes;No
82202;10/19/2015;Debt collection;Other (i.e. phone, health club, etc.);Kimball, Tirey & St. John LLP;AZ;Web;Yes;No
82243;10/14/2015;Debt collection;Credit card;USAA Savings;AZ;Web;Yes;No
82502;10/23/2015;Debt collection;Other (i.e. phone, health club, etc.);Radius Global Solutions LLC;FL;Web;Yes;Yes
82525;09/24/2015;Debt collection;I do not know;Penn Credit Corporation;NC;Web;Yes;No
82950;10/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Harris & Harris, Ltd.;IL;Web;Yes;No
83079;10/20/2015;Student loan;Non-federal student loan;MRS BPO, L.L.C.;OH;Web;Yes;No
83422;10/06/2015;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;CA;Web;Yes;Yes
83449;10/29/2015;Debt collection;Credit card;SUPERIOR DEBT RECOVERY LLC;RI;Web;Yes;No
83579;10/20/2015;Student loan;Non-federal student loan;First Associates Loan Servicing LLC;SC;Web;Yes;No
83605;10/26/2015;Debt collection;Medical;Grant & Weber;CA;Web;Yes;No
83652;10/16/2015;Debt collection;Credit card;MSW Capital, LLC;OH;Web;Yes;No
83736;10/16/2015;Debt collection;Credit card;Stellar Recovery Inc.;FL;Web;No;No
83832;10/10/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;FL;Web;Yes;No
83885;10/10/2015;Debt collection;Medical;Commonwealth Financial Systems, Inc.;TX;Web;Yes;No
84352;10/22/2015;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;IN;Web;Yes;No
84459;10/30/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;MI;Web;Yes;No
84668;11/04/2015;Debt collection;Other (i.e. phone, health club, etc.);RS Clark and Associates, Inc.;TX;Web;Yes;No
84925;10/31/2015;Payday loan;Payday loan;Green Trust Cash, LLC;GA;Web;Yes;No
84930;11/10/2015;Debt collection;Other (i.e. phone, health club, etc.);Linebarger Goggan Blair & Sampson, LLP;TX;Web;Yes;No
84953;11/10/2015;Debt collection;Medical;Medical Data Systems, Inc.;NV;Web;Yes;No
84977;11/10/2015;Debt collection;Other (i.e. phone, health club, etc.);Century Finance, Inc.;NC;Web;Yes;No
85122;11/14/2015;Debt collection;Auto;Ally Financial Inc.;NJ;Web;Yes;No
85196;11/05/2015;Debt collection;Other (i.e. phone, health club, etc.);NCC Business Services, Inc.;AL;Web;Yes;No
85352;11/10/2015;Debt collection;I do not know;Van Ru Credit Corporation;WA;Web;Yes;No
85456;11/05/2015;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;CA;Web;Yes;No
85732;10/27/2015;Debt collection;Medical;ProCollect, Inc;TX;Web;Yes;Yes
85773;10/28/2015;Debt collection;I do not know;Rodenburg LLP;MT;Web;Yes;Yes
85957;11/02/2015;Debt collection;Credit card;Mitchell Rubenstein & Associates, P.C.;VA;Web;Yes;No
86078;11/12/2015;Debt collection;Medical;Revenue Recovery Corporation;TN;Web;Yes;Yes
86195;11/02/2015;Debt collection;I do not know;ERC;PA;Web;Yes;No
86213;12/02/2015;Debt collection;I do not know;ERC;CA;Web;Yes;No
86310;11/26/2015;Debt collection;Other (i.e. phone, health club, etc.);USA Discounters, Ltd.;NC;Web;Yes;Yes
86326;10/28/2015;Debt collection;Medical;Client Services, Inc.;FL;Web;Yes;No
86640;12/03/2015;Payday loan;Payday loan;Advance America, Cash Advance Centers, Inc.;TN;Web;Yes;No
87059;12/03/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;NM;Web;Yes;No
87288;11/03/2015;Debt collection;Non-federal student loan;Financial Business and Consumer Solutions.;GA;Web;Yes;No
87404;11/04/2015;Debt collection;Other (i.e. phone, health club, etc.);Sunrise Credit Services Inc.;TX;Web;Yes;No
87424;11/13/2015;Debt collection;Non-federal student loan;Jacob Law Group, PLLC;MS;Web;Yes;No
87925;11/09/2015;Debt collection;Other (i.e. phone, health club, etc.);Southwest Credit Systems, L.P.;FL;Web;Yes;No
87945;12/29/2015;Debt collection;Other (i.e. phone, health club, etc.);The CMI Group, Inc.;GA;Web;Yes;No
88064;11/23/2015;Debt collection;Other (i.e. phone, health club, etc.);First National Collection Bureau, Inc.;WA;Web;Yes;No
88238;12/10/2015;Debt collection;Other (i.e. phone, health club, etc.);Ray Klein, Inc.;AL;Web;Yes;No
88251;11/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Credit Protection Association, L.P.;FL;Web;Yes;No
88370;12/04/2015;Debt collection;Medical;CMRE Financial Services, Inc.;TX;Web;Yes;No
88398;12/04/2015;Debt collection;Credit card;Receivables Performance Management LLC;OR;Web;Yes;No
88431;12/10/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;FL;Web;Yes;No
88537;12/10/2015;Debt collection;I do not know;Credit Protection Association, L.P.;MD;Web;Yes;No
88541;12/05/2015;Debt collection;Medical;RGL Associates, Inc.;GA;Web;Yes;No
88742;12/07/2015;Debt collection;Auto;Ally Financial Inc.;FL;Web;Yes;No
88920;12/07/2015;Debt collection;Medical;Hunter Warfield, Inc.;NM;Web;Yes;Yes
89171;12/17/2015;Debt collection;Mortgage;Dyck-O'Neal, Inc.;GA;Web;Yes;Yes
89265;12/29/2015;Debt collection;I do not know;NRA Group, LLC;VA;Web;Yes;Yes
89494;12/22/2015;Debt collection;Other (i.e. phone, health club, etc.);Meridian Financial Services, Inc.;NC;Web;Yes;No
90019;12/17/2015;Debt collection;Credit card;Bank of America;PA;Web;Yes;No
90074;12/13/2015;Debt collection;Other (i.e. phone, health club, etc.);NRA Group, LLC;MA;Web;No;Yes
90159;12/08/2015;Debt collection;I do not know;Financial Filing & Reporting, Inc.;TN;Web;Yes;No
90184;12/08/2015;Debt collection;I do not know;Select Portfolio Servicing, Inc;NY;Web;Yes;Yes
90391;12/14/2015;Payday loan;Payday loan;Advance America, Cash Advance Centers, Inc.;OH;Web;Yes;No
90466;12/23/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;NM;Web;Yes;No
90713;01/12/2016;Debt collection;Medical;Continental Credit Control;CA;Web;Yes;No
